epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2392,1.56829,4.81909,1.86711,0.15161,0.20751,0.15615,0.06692,1.14866,3.41013,1.51192,7.5e-05,7.5e-05,7.5e-05
2,101.714,0.83844,1.94393,1.16529,0.79855,0.84732,0.89091,0.67437,0.87808,1.15261,1.11153,0.000146413,0.000146413,0.000146413
3,142.078,0.79007,1.05027,1.03008,0.74033,0.87317,0.85729,0.6667,0.83854,1.05132,1.09556,0.0002005,0.0002005,0.0002005
4,182.654,0.75927,0.86604,1.00375,0.89363,0.79644,0.89187,0.68651,0.84795,0.94331,1.09173,0.000237263,0.000237263,0.000237263
5,225.21,0.80291,0.83028,1.02851,0.79462,0.81647,0.89075,0.63288,0.87789,1.01865,1.11352,0.0002567,0.0002567,0.0002567
6,270.816,0.74054,0.73321,0.98744,0.70996,0.81173,0.823,0.62993,0.85583,1.14125,1.02691,0.000258812,0.000258812,0.000258812
7,318.856,0.74775,0.74234,1.01267,0.79318,0.77614,0.82838,0.64627,0.79845,0.93119,1.08229,0.0002436,0.0002436,0.0002436
8,362.4,0.69786,0.61481,0.97043,0.79375,0.83733,0.86332,0.69343,0.76232,0.86292,0.99414,0.000211063,0.000211063,0.000211063
9,408.818,0.66094,0.57457,0.95696,0.84444,0.87487,0.90039,0.71521,0.75605,0.71368,0.99891,0.0001612,0.0001612,0.0001612
10,456.053,0.62757,0.56305,0.92546,0.87393,0.85933,0.90563,0.73276,0.72015,0.64057,0.96646,9.40125e-05,9.40125e-05,9.40125e-05
